


2022-06-23 17:10:00 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:00 [USER] [UI OPERATION - MONITOR] 현황판 강제 적용 - 운영중
2022-06-23 17:10:02 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:02 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:02 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:04 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:04 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:04 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:04 [USER] [UI OPERATION - MONITOR] 현황판 강제 적용 - 운영중
2022-06-23 17:10:06 [USER] [UI OPERATION - MONITOR] 현황판 강제 적용 - 준비중
2022-06-23 17:10:06 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:06 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:06 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:07 [USER] [UI OPERATION - MONITOR] 현황판 강제 적용 - 정비중
2022-06-23 17:10:07 [USER] [UI OPERATION - MONITOR] 현황판 강제 적용 - 에러발생
2022-06-23 17:10:08 [USER] [UI OPERATION - MONITOR] 현황판 강제 적용 - 운영중
2022-06-23 17:10:08 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:08 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:08 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:11 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:11 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:11 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:13 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:13 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:13 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:15 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:15 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:15 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:17 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:17 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:17 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:19 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:20 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:20 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:22 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:22 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:22 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:24 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:24 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:24 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:26 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:26 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:26 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:28 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:29 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:29 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:31 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:31 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:31 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:33 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:33 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:33 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:35 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:35 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:35 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:37 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:38 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:10:38 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:10:40 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:10:40 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
