


2022-08-18 14:22:38 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:38 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:38 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:40 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:22:40 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:22:40 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:22:42 [USER INPUT] EXIT : TERMINATE PROGRAM



2022-08-18 14:27:53 [SYSTEM] Core Program Start
2022-08-18 14:27:53 [ROBOT] ERROR : DISCONNECTED
2022-08-18 14:27:53 [ICE] ERROR : DISCONNECTED 1
2022-08-18 14:27:53 [ICE] ERROR : DISCONNECTED 2
2022-08-18 14:27:53 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 14:27:55 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:27:55 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:27:55 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:27:57 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:27:57 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:27:57 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:27:59 [USER INPUT] UI : UNLOCK
2022-08-18 14:28:00 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:00 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:00 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:02 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:02 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:02 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:04 [UI OPERATION - SETTING] 임의 테스트 주문 카페라떼
2022-08-18 14:28:04 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:04 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:04 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:06 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:06 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:06 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:09 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:09 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:09 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:11 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:11 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:11 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:13 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:13 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:13 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:15 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:15 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:15 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:17 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 14:28:17 [ICE] SERIAL ttyS7 OPEN FAIL
2022-08-18 14:28:17 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 14:28:18 [USER INPUT] EXIT : TERMINATE PROGRAM



2022-08-18 20:17:00 [SYSTEM] Core Program Start
2022-08-18 20:17:00 [ROBOT] ERROR : DISCONNECTED
2022-08-18 20:17:00 [ICE] ERROR : DISCONNECTED 1
2022-08-18 20:17:00 [ICE] ERROR : DISCONNECTED 2
2022-08-18 20:17:00 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 20:17:01 [OUTLET] ERROR : Disconnected 1
2022-08-18 20:17:01 [OUTLET] ERROR : Disconnected 2
2022-08-18 20:17:01 [SYSTEM] PLATFORM PHYSICALLY CLOSED NOW
2022-08-18 20:17:01 [OUTLET] ERROR : Sonar Sensor Error 2
2022-08-18 20:17:01 [CUP] ERROR : Disconnected 2
2022-08-18 20:17:01 [CUP] ERROR : Disconnected 3
2022-08-18 20:17:01 [CUP] ERROR : Disconnected 4
2022-08-18 20:17:02 [ICE] SERIAL ttyS6 OPEN SUCCESS!
2022-08-18 20:17:02 [ICE] SERIAL ttyS7 OPEN SUCCESS!
2022-08-18 20:17:02 [BARCODE] SERIAL ttyS4 OPEN SUCCESS!
2022-08-18 20:17:04 [USER INPUT] UI : UNLOCK
2022-08-18 20:18:11 [KIOSK] Disconnected 



2022-08-18 20:18:31 [SYSTEM] Core Program Start
2022-08-18 20:18:31 [ROBOT] ERROR : DISCONNECTED
2022-08-18 20:18:31 [ICE] ERROR : DISCONNECTED 1
2022-08-18 20:18:31 [ICE] ERROR : DISCONNECTED 2
2022-08-18 20:18:31 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 20:18:32 [OUTLET] ERROR : Disconnected 1
2022-08-18 20:18:32 [OUTLET] ERROR : Disconnected 2
2022-08-18 20:18:32 [OUTLET] ERROR : Sonar Sensor Error 2
2022-08-18 20:18:32 [SYSTEM] PLATFORM PHYSICALLY CLOSED NOW
2022-08-18 20:18:32 [CUP] ERROR : Disconnected 2
2022-08-18 20:18:32 [CUP] ERROR : Disconnected 3
2022-08-18 20:18:32 [CUP] ERROR : Disconnected 4
2022-08-18 20:18:33 [ICE] SERIAL ttyS6 OPEN SUCCESS!
2022-08-18 20:18:33 [ICE] SERIAL ttyS7 OPEN SUCCESS!
2022-08-18 20:18:33 [BARCODE] SERIAL ttyS4 OPEN SUCCESS!
2022-08-18 20:18:36 [USER INPUT] EXIT : TERMINATE PROGRAM



2022-08-18 20:18:40 [SYSTEM] Core Program Start
